id,name
970,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Dermacoccus
719,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
2190,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI
1286,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae
909,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae
606,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
3459,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter
3379,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium
3389,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae
930,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
917,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae
818,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
2551,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
1202,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
1380,Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae
3288,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis
1728,Bacteria;Firmicutes;Bacilli;Bacillales
2985,Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Dialister
391,Bacteria
2524,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
2820,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Peptoniphilus
811,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
2647,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
2614,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
919,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
2855,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Peptoniphilus
841,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
2079,Bacteria;Firmicutes;Clostridia;Clostridiales
1951,Bacteria;Firmicutes;Clostridia
1197,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
2086,Bacteria;Firmicutes;Clostridia;Clostridiales
491,Bacteria
1214,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
2479,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
2185,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI
1218,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
2125,Bacteria;Firmicutes;Clostridia;Clostridiales
2058,Bacteria;Firmicutes;Clostridia;Clostridiales
1956,Bacteria;Firmicutes;Clostridia
1289,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella
1224,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
1094,Bacteria;Bacteroidetes
2845,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Peptoniphilus
2724,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Finegoldia
2728,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Finegoldia
1141,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
2807,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Peptoniphilus
2837,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Peptoniphilus
2873,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Peptoniphilus
2858,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Peptoniphilus
1174,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
814,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
2927,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus
571,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
345,Bacteria
2987,Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Dialister
97,Bacteria
1159,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
2233,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI
2657,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerosphaera
2654,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerosphaera
2198,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI
2341,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
1487,Bacteria;Firmicutes
2413,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
